1,1,StL
1,2,StS
1,3,DrT
1,4,SnT
1,5,DrT
1,6,RoT
1,7,RoT
1,8,RoT
1,9,DrT
1,10,SnT
1,11,So
1,12,StS
1,13,DrT
1,14,SnT
1,15,ReT
1,16,RoT
1,17,DrT
1,18,SnT
1,19,So
1,20,StS
1,21,DrT
1,22,RoT
1,23,RoT
1,24,RoT
1,25,RoT
1,26,RoT
1,27,DrT
1,28,SnT
1,29,RoT
1,30,RoT
1,31,RoT
1,32,DrT
1,33,SnT
1,34,So
1,35,StS
1,36,DrF
1,37,RoF
1,38,RoF
1,39,RoF
1,40,RoF
1,41,ReF
1,42,RoF
1,43,DrF
1,44,RoF
1,45,RoF
1,46,DrF
1,47,SnF
1,48,DrF
1,49,RoT
1,50,DrT
1,51,SnT
1,52,DrT
1,53,SnT
1,54,SoL
1,55,Ch
1,56,Ch
1,57,Ch
1,58,Ch
1,59,Ch
1,60,Ch
1,61,Ch
1,62,Ch
1,63,Ch
1,64,Ch
1,65,Ch
1,66,Ch
1,67,Ch
1,68,Fi
2,1,StL
2,2,StS
2,3,DrF
2,4,DrF
2,5,DrT
2,6,RoT
2,7,RoT
2,8,RoT
2,9,DrT
2,10,ReT
2,11,DrT
2,12,SnT
2,13,DrT
2,14,DrT
2,15,ReT
2,16,RoT
2,17,ReT
2,18,DrT
2,19,RoT
2,20,RoT
2,21,ReT
2,22,RoT
2,23,RoT
2,24,RoT
2,25,RoT
2,26,ReT
2,27,RoT
2,28,RoT
2,29,RoT
2,30,DrT
2,31,SnT
2,32,So
2,33,StS
2,34,DrT
2,35,DrT
2,36,RoT
2,37,DrT
2,38,SnT
2,39,ReT
2,40,DrT
2,41,SnT
2,42,So
2,43,StS
2,44,DrF
2,45,DrF
2,46,DrF
2,47,DrF
2,48,DrF
2,49,DrF
2,50,DrF
2,51,DrF
2,52,DrF
2,53,RoF
2,54,DrF
2,55,DrF
2,56,DrF
2,57,DrT
2,58,DrF
2,59,DrT
2,60,DrT
2,61,DrT
2,62,ReT
2,63,DrT
2,64,SnT
2,65,DrT
2,66,ReT
2,67,RoT
2,68,DrT
2,69,SnT
2,70,So
2,71,StS
2,72,DrT
2,73,DrF
2,74,DrF
2,75,DrF
2,76,DrF
2,77,DrF
2,78,DrF
2,79,RoT
2,80,RoT
2,81,RoT
2,82,RoT
2,83,DrT
2,84,SnT
2,85,DrT
2,86,SnT
2,87,So
2,88,StS
2,89,DrF
2,90,DrT
2,91,RoT
2,92,RoT
2,93,RoT
2,94,RoT
2,95,ReT
2,96,ReT
2,97,ReT
2,98,DrT
2,99,RoT
2,100,DrT
2,101,SnT
2,102,DrT
2,103,RoT
2,104,RoT
2,105,RoT
2,106,DrT
2,107,SnT
2,108,So
2,109,StS
2,110,DrF
2,111,DrF
2,112,DrF
2,113,RoF
2,114,DrF
2,115,DrF
2,116,DrF
2,117,RoF
2,118,DrF
2,119,DrF
2,120,RoT
2,121,ReT
2,122,DrT
2,123,SnT
2,124,ReT
2,125,ReT
2,126,ReT
2,127,DrT
2,128,ReT
2,129,ReT
2,130,RoT
2,131,RoT
2,132,DrT
2,133,SnT
2,134,SoL
2,135,Fi
3,1,StL
3,2,StS
3,3,DrF
3,4,DrF
3,5,DrT
3,6,SnT
3,7,RoT
3,8,RoT
3,9,DrT
3,10,DrT
3,11,SnT
3,12,SoL
3,13,Ch
3,14,Ch
3,15,Ch
3,16,Ch
3,17,Ch
3,18,Ch
3,19,Ch
3,20,Ch
3,21,Ch
3,22,Ch
3,23,Ch
3,24,Ch
3,25,Ch
3,26,Ch
3,27,Ch
3,28,Ch
3,29,Ch
3,30,Ch
3,31,Ch
3,32,Ch
3,33,Ch
3,34,Ch
3,35,Ch
3,36,Ch
3,37,Ch
3,38,Ch
3,39,Ch
3,40,Ch
3,41,Ch
3,42,Ch
3,43,Ch
3,44,Ch
3,45,Ch
3,46,Ch
3,47,Ch
3,48,Ch
3,49,Ch
3,50,Ch
3,51,Ch
3,52,Ch
3,53,Ch
3,54,Ch
3,55,Ch
3,56,Fi
4,1,StL
4,2,StS
4,3,DrF
4,4,DrF
4,5,DrF
4,6,RoF
4,7,RoF
4,8,DrF
4,9,DrT
4,10,DrF
4,11,DrF
4,12,RoF
4,13,RoF
4,14,DrF
4,15,DrF
4,16,DrF
4,17,DrF
4,18,DrF
4,19,DrT
4,20,ReT
4,21,RoT
4,22,DrT
4,23,SnT
4,24,DrT
4,25,SnT
4,26,SoL
4,27,Ch
4,28,Ch
4,29,Ch
4,30,Ch
4,31,Ch
4,32,Ch
4,33,Ch
4,34,Ch
4,35,Ch
4,36,Ch
4,37,Ch
4,38,Ch
4,39,Ch
4,40,Ch
4,41,Ch
4,42,Ch
4,43,Ch
4,44,Ch
4,45,Ch
4,46,Ch
4,47,Ch
4,48,Ch
4,49,Ch
4,50,Ch
4,51,Ch
4,52,Ch
4,53,Ch
4,54,Ch
4,55,Ch
4,56,Ch
4,57,Ch
4,58,Ch
4,59,Ch
4,60,Ch
4,61,Ch
4,62,Ch
4,63,Ch
4,64,Ch
4,65,Ch
4,66,Ch
4,67,Ch
4,68,Ch
4,69,Ch
4,70,Ch
4,71,Ch
4,72,Ch
4,73,Ch
4,74,Ch
4,75,Ch
4,76,Ch
4,77,Ch
4,78,Ch
4,79,Fi
5,1,StL
5,2,StS
5,3,DrF
5,4,DrT
5,5,SnT
5,6,ReT
5,7,DrT
5,8,RoT
5,9,DrT
5,10,SnT
5,11,So
5,12,StS
5,13,DrF
5,14,DrF
5,15,DrF
5,16,ReF
5,17,RoF
5,18,RoF
5,19,DrF
5,20,DrT
5,21,ReT
5,22,RoT
5,23,RoT
5,24,DrT
5,25,SnT
5,26,ReT
5,27,DrT
5,28,SnT
5,29,So
5,30,StS
5,31,DrF
5,32,DrF
5,33,DrF
5,34,DrT
5,35,DrT
5,36,DrF
5,37,DrF
5,38,ReT
5,39,RoT
5,40,ReT
5,41,RoT
5,42,RoT
5,43,RoT
5,44,ReT
5,45,RoT
5,46,RoT
5,47,RoT
5,48,DrT
5,49,SnT
5,50,DrT
5,51,SnT
5,52,So
5,53,StS
5,54,DrF
5,55,DrF
5,56,DrT
5,57,DrF
5,58,DrT
5,59,RoT
5,60,DrT
5,61,SnT
5,62,ReT
5,63,ReT
5,64,RoT
5,65,RoT
5,66,DrT
5,67,SnT
5,68,So
5,69,StS
5,70,DrF
5,71,DrT
5,72,RoT
5,73,RoT
5,74,DrT
5,75,SnT
5,76,DrT
5,77,RoT
5,78,RoT
5,79,DrT
5,80,SnT
5,81,SoL
5,82,Ch
5,83,Ch
5,84,Ch
5,85,Ch
5,86,Ch
5,87,Ch
5,88,Ch
5,89,Ch
5,90,Ch
5,91,Ch
5,92,Ch
5,93,Ch
5,94,Ch
5,95,Ch
5,96,Ch
5,97,Ch
5,98,Ch
5,99,Ch
5,100,Ch
5,101,Ch
5,102,Ch
5,103,Fi
6,1,StL
6,2,StS
6,3,DrF
6,4,RoF
